regulator,TF_id,gene_name,gene_id,effect,evidence,source
AccB,b3255,accB,b3255,-,0,RegulonDB_TF
RpoD,b3067,pheU,b4134,+,0,RegulonDB_sigma
RpoD,b3067,pheP,b0576,+,0,RegulonDB_sigma
RpoD,b3067,pheL,b2598,+,0,RegulonDB_sigma
RpoD,b3067,pheA,b2599,+,0,RegulonDB_sigma
RpoD,b3067,pgpB,b1278,+,0,RegulonDB_sigma
RpoD,b3067,pgpA,b0418,+,0,RegulonDB_sigma
RpoD,b3067,pgk,b2926,+,0,RegulonDB_sigma
RpoD,b3067,pgi,b4025,+,0,RegulonDB_sigma
RpoD,b3067,pflB,b0903,+,0,RegulonDB_sigma
RpoD,b3067,pflA,b0902,+,0,RegulonDB_sigma
RpoD,b3067,pfkA,b3916,+,0,RegulonDB_sigma
RpoD,b3067,pepP,b2908,+,0,RegulonDB_sigma
RpoD,b3067,pepD,b0237,+,0,RegulonDB_sigma
RpoD,b3067,pepA,b4260,+,0,RegulonDB_sigma
RpoD,b3067,pdxJ,b2564,+,0,RegulonDB_sigma
RpoD,b3067,pdhR,b0113,+,0,RegulonDB_sigma
RpoD,b3067,pdeL,b0315,+,0,RegulonDB_sigma
RpoD,b3067,pcnB,b0143,+,0,RegulonDB_sigma
RpoD,b3067,pcm,b2743,+,0,RegulonDB_sigma
RpoD,b3067,pck,b3403,+,0,RegulonDB_sigma
RpoD,b3067,patZ,b2584,+,0,RegulonDB_sigma
RpoD,b3067,panF,b3258,+,0,RegulonDB_sigma
RpoD,b3067,panD,b0131,+,0,RegulonDB_sigma
RpoD,b3067,panC,b0133,+,0,RegulonDB_sigma
RpoD,b3067,panB,b0134,+,0,RegulonDB_sigma
RpoD,b3067,pheV,b2967,+,0,RegulonDB_sigma
RpoD,b3067,pabA,b3360,+,0,RegulonDB_sigma
RpoD,b3067,phnC,b4106,+,0,RegulonDB_sigma
RpoD,b3067,phnE,b4583,+,0,RegulonDB_sigma
RpoD,b3067,polB,b0060,+,0,RegulonDB_sigma
RpoD,b3067,pntB,b1602,+,0,RegulonDB_sigma
RpoD,b3067,pntA,b1603,+,0,RegulonDB_sigma
RpoD,b3067,pnp,b3164,+,0,RegulonDB_sigma
RpoD,b3067,pncB,b0931,+,0,RegulonDB_sigma
RpoD,b3067,plsX,b1090,+,0,RegulonDB_sigma
RpoD,b3067,pldA,b3821,+,0,RegulonDB_sigma
RpoD,b3067,pitB,b2987,+,0,RegulonDB_sigma
RpoD,b3067,phoU,b3724,+,0,RegulonDB_sigma
RpoD,b3067,phoR,b0400,+,0,RegulonDB_sigma
RpoD,b3067,phoH,b1020,+,0,RegulonDB_sigma
RpoD,b3067,phoE,b0241,+,0,RegulonDB_sigma
RpoD,b3067,phoB,b0399,+,0,RegulonDB_sigma
RpoD,b3067,phoA,b0383,+,0,RegulonDB_sigma
RpoD,b3067,phnP,b4092,+,0,RegulonDB_sigma
RpoD,b3067,phnO,b4093,+,0,RegulonDB_sigma
RpoD,b3067,phnN,b4094,+,0,RegulonDB_sigma
RpoD,b3067,phnM,b4095,+,0,RegulonDB_sigma
RpoD,b3067,phnL,b4096,+,0,RegulonDB_sigma
RpoD,b3067,phnK,b4097,+,0,RegulonDB_sigma
RpoD,b3067,phnJ,b4098,+,0,RegulonDB_sigma
RpoD,b3067,phnI,b4099,+,0,RegulonDB_sigma
RpoD,b3067,phnH,b4100,+,0,RegulonDB_sigma
RpoD,b3067,phnG,b4101,+,0,RegulonDB_sigma
RpoD,b3067,phnF,b4102,+,0,RegulonDB_sigma
RpoD,b3067,phnD,b4105,+,0,RegulonDB_sigma
RpoD,b3067,paaY,b1400,+,0,RegulonDB_sigma
RpoD,b3067,paaX,b1399,+,0,RegulonDB_sigma
RpoD,b3067,paaK,b1398,+,0,RegulonDB_sigma
RpoD,b3067,nupC,b2393,+,0,RegulonDB_sigma
RpoD,b3067,nuoN,b2276,+,0,RegulonDB_sigma
