TF_id,TG_id,Index
b3261,b1241,1
b3261,b1739,1
b3261,b2957,1
b3261,b0050,1
b3261,b0049,1
b3261,b3721,1
b3261,b3722,1
b3261,b3723,1
b3261,b0032,1
b3261,b0033,1
b3261,b3357,1
b3261,b3556,1
b3261,b0432,1
b3261,b0431,1
b3261,b0430,1
b3261,b0429,1
b3261,b0428,1
b3261,b3368,1
b3261,b4382,1
b3261,b4383,1
b3261,b4381,1
b3261,b4384,1
b3261,b0894,1
b3261,b0895,1
b3261,b0896,1
b3261,b3702,1
b3261,b3701,1
b3261,b3845,1
b3261,b3846,1
b3261,b4122,1
b3261,b3870,1
b3261,b3868,1
b3261,b3869,1
b3261,b0809,1
b3261,b2241,1
b3261,b2242,1
b3261,b2243,1
b3261,b2239,1
b3261,b2240,1
b3261,b2400,1
b3261,b2507,1
b3261,b2508,1
b3261,b2231,1
b3261,b3699,1
b3261,b1237,1
b3261,b4000,1
b3261,b0440,1
b3261,b0972,1
b3261,b0973,1
b3261,b0974,1
b3261,b0975,1
b3261,b0976,1
b3261,b0977,1
b3261,b3168,1
b3261,b1732,1
b3261,b0051,1
b3261,b0116,1
b3261,b4034,1
b3261,b4033,1
b3261,b4032,1
b3261,b2783,1
b3261,b2781,1
b3261,b2149,1
b3261,b2148,1
b3261,b3599,1
b3261,b3600,1
b3261,b3225,1
b3261,b1224,1
b3261,b1225,1
b3261,b1227,1
b3261,b1226,1
b3261,b1223,1
b3261,b1109,1
b3261,b3365,1
b3261,b3367,1
b3261,b3366,1
b3261,b2234,1
b3261,b2235,1
b3261,b3169,1
b3261,b1335,1
b3261,b0052,1
b3261,b0903,1
b3261,b3164,1
b3261,b1101,1
b3261,b0945,1
b3261,b0405,1
b3261,b3700,1
b3261,b3231,1
b3261,b3230,1
b3261,b3165,1
b3261,b1274,1
b3261,b1421,1
b3261,b3965,1
b3261,b3980,1
b3261,b2912,1
b3261,b3166,1
b3261,b3167,1
b3261,b3170,1
b3261,b2782,1
b3261,b3260,1
b3261,b4376,1
b3261,b0812,1
b3261,b4219,1
b3261,b1531,1
b3261,b1530,1
b3261,b4069,1
b3261,b1493,1
b3261,b1480,1
b3261,b1532,1
b3261,b4111,1
b3261,b3673,1
b3261,b2277,1
b3261,b2284,1
b3261,b4070,1
b3261,b2579,1
b3261,b4067,1
b3261,b4068,1
b3261,b4071,1
b3261,b4072,1
b3261,b4073,1
b3261,b4074,1
b3261,b4075,1
b3261,b4076,1
b3261,b3601,1
b3261,b2288,1
b3261,b2287,1
b3261,b2286,1
b3261,b2285,1
b3261,b2283,1
b3261,b2282,1
b3261,b2281,1
b3261,b2280,1
b3261,b2279,1
b3261,b2278,1
b3261,b2276,1
b3261,b1000,1
b3261,b0999,1
b3261,b3516,1
b3261,b3567,1
b3261,b3568,1
b3261,b3588,1
b3261,b0118,1
b3261,b2236,1
b3261,b3566,1
b3261,b3569,1
b3261,b3517,1
b3261,b3224,1
b3261,b1182,1
b3261,b1492,1
b3261,b1552,1
b3261,b1566,1
b3261,b1796,1
b3261,b1797,1
b3261,b2980,1
b3261,b3073,1
b3261,b3221,1
b3261,b3222,1
b3261,b3223,1
b4396,b1415,1
b4396,b3800,1
b4396,b0166,1
b4396,b3845,1
b4396,b3846,1
b4396,b2344,1
b4396,b1611,1
b4396,b0168,1
b4396,b1224,1
b4396,b2159,1
b4396,b0852,1
b4396,b3908,1
b4396,b3035,1
b4396,b3037,1
b4396,b3038,1
b4396,b1852,1
b4396,b0851,1
b4396,b1276,1
b4396,b2558,1
b4396,b3049,1
b4396,b0167,1
b4396,b2237,1
b4396,b1531,1
b4396,b1530,1
b4396,b4069,1
b4396,b1805,1
b4396,b1532,1
b4396,b0463,1
b4396,b0462,1
b4396,b4067,1
b4396,b4068,1
b4396,b2077,1
b4396,b0117,1
b4396,b1218,1
b4396,b3555,1
b4396,b3028,1
b4396,b0850,1
b4396,b0578,1
b4396,b0762,1
b4396,b0819,1
b4396,b0820,1
b4396,b0853,1
b4396,b1431,1
b4396,b1748,1
b4396,b2266,1
b4396,b3153,1
b4396,b3160,1
b1323,b2601,1
b1323,b0754,1
b1323,b0388,1
b1323,b0390,1
b1323,b0112,1
b1323,b0048,1
b1323,b3161,1
b1323,b2600,1
b1323,b4054,1
b1323,b1907,1
b1323,b0389,1
b2916,b3433,1
b2916,b0031,1
b2916,b0166,1
b2916,b3702,1
b2916,b3701,1
b2916,b1761,1
b2916,b2838,1
b2916,b4024,1
b2916,b2234,1
b2916,b2235,1
b2916,b3700,1
b2916,b2923,1
b2916,b2156,1
b2916,b2236,1
b3912,b2470,1
b3912,b0754,1
b3912,b1888,1
b3912,b1887,1
b3912,b3911,1
b3912,b0179,1
b3912,b0460,1
b3912,b0178,1
b3912,b0161,1
b3912,b0181,1
b3912,b1890,1
b3912,b1889,1
b3912,b2215,1
b3912,b0929,1
b3912,b3363,1
b3912,b4160,1
b3912,b3461,1
b3912,b0377,1
b3912,b4392,1
b3912,b2617,1
b3912,b4355,1
b3912,b2580,1
b3912,b2893,1
b3912,b0970,1
b3912,b0925,1
b3912,b0180,1
b3912,b3860,1
b3912,b1531,1
b3912,b1530,1
b3912,b1042,1
b3912,b1532,1
b3912,b2078,1
b3912,b2079,1
b3912,b1535,1
b3912,b3057,1
b3912,b3688,1
b3912,b1846,1
b3912,b3859,1
b3912,b2573,1
b3912,b2077,1
b3912,b2572,1
b3912,b0461,1
b3912,b0378,1
b3912,b0441,1
b3912,b4490,1
b3912,b1037,1
b3912,b1038,1
b3912,b1039,1
b3912,b1040,1
b3912,b1041,1
b3912,b1043,1
b3912,b1113,1
b3912,b1743,1
b3912,b1902,1
b3912,b2074,1
b3912,b2075,1
b3912,b2076,1
b3912,b2570,1
b3912,b2571,1
b3912,b2665,1
b3912,b2666,1
b3912,b3095,1
b3912,b3096,1
b3912,b4484,1
b3912,b4159,1
b3912,b4188,1
b3912,b4725,1
b0761,b0764,1
b0761,b0765,1
b0761,b4382,1
b0761,b4383,1
b0761,b4381,1
b0761,b4384,1
b0761,b0894,1
b0761,b0895,1
b0761,b0896,1
b0761,b2725,1
b0761,b2724,1
b0761,b2723,1
b0761,b2722,1
b0761,b2721,1
b0761,b2720,1
b0761,b2719,1
b0761,b2718,1
b0761,b1221,1
b0761,b1222,1
b0761,b1243,1
b0761,b1244,1
b0761,b1245,1
b0761,b1246,1
b0761,b1247,1
b0761,b0781,1
b0761,b0782,1
b0761,b0784,1
b0761,b0785,1
b0761,b0783,1
b0761,b2194,1
b0761,b2195,1
b0761,b2196,1
b0761,b2197,1
b0761,b2199,1
b0761,b2200,1
b0761,b2201,1
b0761,b2202,1
b0761,b2203,1
b0761,b2204,1
b0761,b2205,1
b0761,b2206,1
b0761,b2208,1
b0761,b2207,1
b0761,b2198,1
b0761,b0763,1
b0761,b2717,1
b1334,b4123,1
b1334,b0886,1
b1334,b3126,1
b1334,b0114,1
b1334,b0115,1
b1334,b2296,1
b1334,b1241,1
