TF_id,TG_id,Index
BSU_40540,BSU_40540,1
BSU_40540,BSU_07830,1
BSU_40410,BSU_13450,1
BSU_40410,BSU_13460,1
BSU_40410,BSU_14470,1
BSU_40410,BSU_14460,1
BSU_40410,BSU_06250,1
BSU_40410,BSU_35750,1
BSU_40410,BSU_35760,1
BSU_40410,BSU_39230,1
BSU_40410,BSU_39220,1
BSU_40410,BSU_19210,1
BSU_40410,BSU_35700,1
BSU_40410,BSU_35710,1
BSU_40410,BSU_35740,1
BSU_40410,BSU_35730,1
BSU_40410,BSU_35720,1
BSU_40410,BSU_15290,1
BSU_40410,BSU_15280,1
BSU_40410,BSU_18380,1
BSU_40410,BSU_13819,1
BSU_40410,BSU_13820,1
BSU_40410,BSU_09420,1
BSU_40410,BSU_34800,1
BSU_40410,BSU_12100,1
BSU_40410,BSU_06250,1
BSU_40410,BSU_06260,1
BSU_40410,BSU_38480,1
BSU_40350,BSU_40340,1
BSU_40350,BSU_40330,1
BSU_40350,BSU_40320,1
BSU_40350,BSU_40350,1
BSU_40350,BSU_37790,1
BSU_40350,BSU_17850,1
BSU_40350,BSU_37780,1
BSU_40350,BSU_37760,1
BSU_40350,BSU_37770,1
BSU_40050,BSU_40050,1
BSU_40050,BSU_40060,1
BSU_40050,BSU_40080,1
BSU_40050,BSU_40070,1
BSU_39990,BSU_39970,1
BSU_39990,BSU_39980,1
BSU_39990,BSU_39990,1
BSU_39770,BSU_39750,1
BSU_39770,BSU_39710,1
BSU_39770,BSU_39670,1
BSU_39770,BSU_39680,1
BSU_39770,BSU_39760,1
BSU_39770,BSU_39700,1
BSU_39770,BSU_39730,1
BSU_39770,BSU_39740,1
BSU_39770,BSU_39720,1
BSU_39770,BSU_39690,1
BSU_39770,BSU_39770,1
BSU_39770,BSU_39780,1
BSU_39770,BSU_06230,1
BSU_39660,BSU_39630,1
BSU_39660,BSU_39620,1
BSU_39660,BSU_39640,1
BSU_39430,BSU_39410,1
BSU_39430,BSU_39420,1
BSU_39430,BSU_39400,1
BSU_39340,BSU_39390,1
BSU_39340,BSU_39340,1
BSU_39340,BSU_39370,1
BSU_39340,BSU_39350,1
BSU_39340,BSU_39360,1
BSU_39340,BSU_39380,1
BSU_39080,BSU_39270,1
BSU_39080,BSU_39250,1
BSU_39080,BSU_39260,1
BSU_39080,BSU_39070,1
BSU_38600,BSU_38590,1
BSU_38600,BSU_38580,1
BSU_38600,BSU_38560,1
BSU_38600,BSU_38570,1
BSU_38450,BSU_38460,1
BSU_38450,BSU_38450,1
BSU_38420,BSU_34460,1
BSU_38420,BSU_34450,1
BSU_38420,BSU_38410,1
BSU_38420,BSU_38420,1
BSU_38310,BSU_38330,1
BSU_38310,BSU_38320,1
BSU_38220,BSU_38229,1
BSU_38070,BSU_38030,1
BSU_38070,BSU_38040,1
BSU_38070,BSU_38050,1
BSU_37650,BSU_37650,1
BSU_37650,BSU_33440,1
BSU_37650,BSU_33430,1
BSU_37620,BSU_37620,1
BSU_37620,BSU_38630,1
BSU_37310,BSU_08090,1
BSU_37310,BSU_08070,1
BSU_37310,BSU_08060,1
BSU_37310,BSU_08080,1
BSU_37310,BSU_37310,1
BSU_37310,BSU_37250,1
BSU_37310,BSU_37260,1
BSU_37310,BSU_37270,1
BSU_37310,BSU_37280,1
BSU_37310,BSU_37290,1
BSU_37310,BSU_37310,1
BSU_37310,BSU_37320,1
BSU_37070,BSU_37070,1
BSU_36600,BSU_05450,1
BSU_36600,BSU_26600,1
BSU_36600,BSU_26590,1
BSU_36600,BSU_24020,1
BSU_36600,BSU_24010,1
BSU_36600,BSU_36600,1
BSU_36600,BSU_16825,1
BSU_36600,BSU_16845,1
BSU_36600,BSU_16860,1
BSU_36420,BSU_06900,1
BSU_36420,BSU_06890,1
BSU_36420,BSU_06910,1
BSU_36420,BSU_06920,1
BSU_36420,BSU_06930,1
BSU_36420,BSU_36050,1
BSU_36420,BSU_36040,1
BSU_36420,BSU_36060,1
BSU_36420,BSU_24360,1
BSU_36420,BSU_24370,1
BSU_36420,BSU_24400,1
BSU_36420,BSU_24410,1
BSU_36420,BSU_24430,1
BSU_36420,BSU_24440,1
BSU_36420,BSU_24380,1
BSU_36420,BSU_24390,1
BSU_36420,BSU_24420,1
BSU_36420,BSU_15260,1
BSU_36420,BSU_15270,1
BSU_36420,BSU_15250,1
BSU_36420,BSU_15230,1
BSU_36420,BSU_15240,1
BSU_36420,BSU_15220,1
BSU_36420,BSU_09780,1
BSU_36420,BSU_09770,1
BSU_36420,BSU_11770,1
BSU_36420,BSU_11780,1
BSU_36420,BSU_11760,1
BSU_36420,BSU_25760,1
BSU_36420,BSU_27970,1
BSU_36420,BSU_27980,1
BSU_36420,BSU_14250,1
BSU_36420,BSU_17700,1
BSU_36420,BSU_15260,1
BSU_36420,BSU_15200,1
BSU_36420,BSU_15270,1
BSU_36420,BSU_15190,1
BSU_36420,BSU_15250,1
BSU_36420,BSU_15210,1
BSU_36420,BSU_15230,1
BSU_36420,BSU_15240,1
BSU_36420,BSU_15180,1
BSU_36420,BSU_15220,1
BSU_36420,BSU_25770,1
BSU_36420,BSU_28410,1
BSU_36420,BSU_12090,1
BSU_36420,BSU_02600,1
BSU_36420,BSU_00160,1
BSU_36420,BSU_15170,1
BSU_36420,BSU_22520,1
BSU_36420,BSU_25060,1
BSU_36420,BSU_25070,1
BSU_36420,BSU_09830,1
BSU_36420,BSU_22200,1
BSU_36420,BSU_40530,1
BSU_36420,BSU_28380,1
BSU_36420,BSU_15090,1
BSU_36420,BSU_17420,1
BSU_36420,BSU_01570,1
BSU_36420,BSU_15030,1
BSU_36420,BSU_25360,1
BSU_36420,BSU_25350,1
BSU_36420,BSU_36750,1
BSU_36420,BSU_00230,1
BSU_36420,BSU_22800,1
BSU_36420,BSU_15810,1
BSU_36420,BSU_26390,1
BSU_36420,BSU_15360,1
BSU_36420,BSU_31279,1
BSU_36420,BSU_31280,1
BSU_36420,BSU_27670,1
BSU_36420,BSU_27690,1
BSU_36300,BSU_36300,1
BSU_36300,BSU_36290,1
BSU_36110,BSU_36130,1
BSU_36110,BSU_36110,1
BSU_36110,BSU_36120,1
BSU_36020,BSU_36000,1
BSU_36020,BSU_36010,1
BSU_35650,BSU_35650,1
BSU_35490,BSU_35440,1
BSU_35490,BSU_35450,1
BSU_35490,BSU_35470,1
BSU_35490,BSU_35380,1
BSU_35490,BSU_35420,1
BSU_35490,BSU_35410,1
BSU_35490,BSU_35400,1
BSU_35490,BSU_35370,1
BSU_35490,BSU_35460,1
BSU_35490,BSU_35390,1
BSU_35490,BSU_35430,1
BSU_35490,BSU_35870,1
BSU_35490,BSU_35900,1
BSU_35490,BSU_35880,1
BSU_35490,BSU_35890,1
BSU_35490,BSU_35239,1
BSU_35490,BSU_35220,1
BSU_35490,BSU_36230,1
BSU_35490,BSU_36250,1
BSU_35490,BSU_36260,1
BSU_35490,BSU_36240,1
BSU_35490,BSU_16180,1
BSU_35490,BSU_16310,1
BSU_35490,BSU_16300,1
BSU_35490,BSU_16320,1
BSU_35490,BSU_16330,1
BSU_35490,BSU_16299,1
BSU_35490,BSU_16480,1
BSU_35490,BSU_16240,1
BSU_35490,BSU_16270,1
BSU_35490,BSU_16230,1
BSU_35490,BSU_16250,1
BSU_35490,BSU_16380,1
BSU_35490,BSU_16430,1
BSU_35490,BSU_16350,1
BSU_35490,BSU_16470,1
BSU_35490,BSU_16200,1
BSU_35490,BSU_16280,1
BSU_35490,BSU_16440,1
BSU_35490,BSU_16220,1
BSU_35490,BSU_16390,1
BSU_35490,BSU_16370,1
BSU_35490,BSU_16360,1
BSU_35490,BSU_16420,1
BSU_35490,BSU_16400,1
BSU_35490,BSU_16460,1
BSU_35490,BSU_16340,1
BSU_35490,BSU_16190,1
BSU_35490,BSU_16410,1
BSU_35490,BSU_16290,1
BSU_35490,BSU_16450,1
BSU_35490,BSU_16260,1
BSU_35490,BSU_16210,1
BSU_35490,BSU_34460,1
BSU_35490,BSU_34450,1
BSU_35490,BSU_38410,1
BSU_35490,BSU_38420,1
BSU_35490,BSU_31860,1
BSU_35490,BSU_31900,1
BSU_35490,BSU_31890,1
BSU_35490,BSU_31910,1
BSU_35490,BSU_31875,1
BSU_35490,BSU_31840,1
BSU_35490,BSU_31850,1
BSU_35490,BSU_10420,1
BSU_35490,BSU_16310,1
BSU_35490,BSU_16300,1
BSU_35490,BSU_16320,1
BSU_35490,BSU_16330,1
BSU_35490,BSU_16299,1
BSU_35490,BSU_16480,1
BSU_35490,BSU_16270,1
BSU_35490,BSU_16380,1
BSU_35490,BSU_16430,1
BSU_35490,BSU_16350,1
BSU_35490,BSU_16470,1
BSU_35490,BSU_16280,1
BSU_35490,BSU_16440,1
BSU_35490,BSU_16390,1
BSU_35490,BSU_16370,1
BSU_35490,BSU_16360,1
BSU_35490,BSU_16420,1
BSU_35490,BSU_16400,1
BSU_35490,BSU_16460,1
BSU_35490,BSU_16340,1
BSU_35490,BSU_16410,1
BSU_35490,BSU_16290,1
BSU_35490,BSU_16450,1
BSU_35490,BSU_16260,1
BSU_35490,BSU_35500,1
BSU_35490,BSU_35490,1
BSU_35490,BSU_14410,1
BSU_35490,BSU_34470,1
BSU_35490,BSU_38940,1
BSU_35490,BSU_10300,1
BSU_35490,BSU_38940,1
BSU_35490,BSU_38930,1
BSU_35490,BSU_02780,1
BSU_35490,BSU_39230,1
BSU_35490,BSU_39220,1
BSU_35490,BSU_38400,1
BSU_35490,BSU_31080,1
BSU_35490,BSU_31720,1
BSU_35490,BSU_15300,1
BSU_35490,BSU_35239,1
BSU_35490,BSU_35230,1
BSU_35490,BSU_34850,1
BSU_35490,BSU_34840,1
BSU_35490,BSU_34830,1
BSU_35490,BSU_15640,1
BSU_35490,BSU_11040,1
BSU_35490,BSU_11055,1
BSU_35490,BSU_11070,1
BSU_35490,BSU_11100,1
BSU_35239,BSU_02780,1
BSU_35230,BSU_16180,1
BSU_35230,BSU_16310,1
BSU_35230,BSU_16300,1
BSU_35230,BSU_16320,1
BSU_35230,BSU_16330,1
BSU_35230,BSU_16299,1
BSU_35230,BSU_16480,1
BSU_35230,BSU_16240,1
BSU_35230,BSU_16270,1
BSU_35230,BSU_16230,1
BSU_35230,BSU_16250,1
BSU_35230,BSU_16380,1
BSU_35230,BSU_16430,1
BSU_35230,BSU_16350,1
BSU_35230,BSU_16470,1
BSU_35230,BSU_16200,1
BSU_35230,BSU_16280,1
BSU_35230,BSU_16440,1
BSU_35230,BSU_16220,1
BSU_35230,BSU_16390,1
BSU_35230,BSU_16370,1
BSU_35230,BSU_16360,1
BSU_35230,BSU_16420,1
BSU_35230,BSU_16400,1
BSU_35230,BSU_16460,1
BSU_35230,BSU_16340,1
BSU_35230,BSU_16190,1
