Accession-1,Gene Name,start,end,Genes in same transcription unit,Promoters,Centisome-Position,Direction,Transcription Units,operon,promotorstart,promotorend,operon_direction
b0001,thrL,190,255,thrL // thrA // thrB // thrC,thrLp // thrLp,0.004095515,+,thrL // thrLABC,thrLABC,-110,190,+
b0002,thrA,337,2799,thrA // thrB // thrC // thrL,thrLp,0.007264151,+,thrLABC,thrLABC,-110,190,+
b0003,thrB,2801,3733,thrA // thrB // thrC // thrL,thrLp,0.060376514,+,thrLABC,thrLABC,-110,190,+
b0004,thrC,3734,5020,thrA // thrB // thrC // thrL,thrLp,0.08048765,+,thrLABC,thrLABC,-110,190,+
b0005,yaaX,5234,5530,yaaX,,0.11282066,+,yaaX,yaaX,4934,5234,+
b0006,yaaA,5683,6459,yaaA,,0.12249901,-,yaaA,yaaA,6459,6759,-
b0007,yaaJ,6529,7959,yaaJ,,0.14073484,-,yaaJ,yaaJ,7959,8259,-
b0008,talB,8238,9191,talB,talBp,0.1775729,+,talB,talB,7938,8238,+
b0009,mog,9306,9893,mog,,0.20048895,+,mog,mog,9006,9306,+
b0010,satP,9928,10494,satP,,0.21388936,-,satP,satP,10494,10794,-
b0011,yaaW,10643,11356,yaaW,,0.22929336,-,yaaW,yaaW,11356,11656,-
b0012,mbiA,10830,11315,mbiA,htgAp2 // htgAp1,0.23342152,+,htgA // htgA,mbiA,10530,10830,+
b0013,yaaI,11382,11786,yaaI,,0.24521442,-,yaaI,yaaI,11786,12086,-
b0014,dnaK,12163,14079,tpke11 // dnaK // dnaJ,dnaKp3 // dnaKp2 // dnaKp1,0.26204032,+,dnaKJ // dnaKJ // dnaKJ,dnaK-tpke11-dnaJ,11863,12163,+
b0015,dnaJ,14168,15298,tpke11 // dnaK // dnaJ,dnaKp3 // dnaKp2 // dnaKp1,0.30523616,+,dnaKJ // dnaKJ // dnaKJ,dnaK-tpke11-dnaJ,11863,12163,+
b0016,insL1,15445,16557,insL1,,0.3327479,+,insL1,insL1,15145,15445,+
b0017,b0017,15869,16177,,,0.34206176,-,,,16177,16477,-
b0018,mokC,16751,16960,mokC // hokC,,0.36088446,-,mokC-hokC,mokC-hokC,16960,17260,-
b0019,nhaA,17489,18655,nhaR // nhaA,nhaAp2 // nhaAp1,0.37678397,+,nhaAR // nhaAR,nhaAR,17189,17489,+
b0020,nhaR,18715,19620,nhaR // nhaA,nhaAp1 // nhaAp2,0.40319696,+,nhaAR // nhaAR // nhaR,nhaAR,17189,17489,+
b0021,insB1,19811,20314,insA1 // insB1 // insAB1,,0.42680925,-,insA1B1AB1,insAB1A1B1,20508,20808,-
b0022,insA1,20233,20508,insA1 // insB1 // insAB1,,0.43590084,-,insA1B1AB1,insAB1A1B1,20508,20808,-
b0023,rpsT,20815,21078,rpsT,rpsTp2 // rpsTp1,0.44843945,-,rpsT // rpsT,rpsT,21078,21378,-
b0024,yaaY,21181,21399,,,0.45632458,+,,,20881,21181,+
b0025,ribF,21407,22348,ribF // ispH // fkpB // lspA // ileS,ribFp,0.46119356,+,ribF-ileS-lspA-fkpB-ispH,ribF-ileS-lspA-fkpB-ispH,21107,21407,+
b0026,ileS,22391,25207,ribF // ispH // fkpB // lspA // ileS,ileSp3 // ileSp2 // ileSp1 // ribFp,0.4823929,+,ileS-lspA-fkpB-ispH // ileS-lspA-fkpB-ispH // ileS-lspA-fkpB-ispH // ribF-ileS-lspA-fkpB-ispH,ribF-ileS-lspA-fkpB-ispH,21107,21407,+
b0027,lspA,25207,25701,ribF // ispH // fkpB // lspA // ileS,ileSp3 // ileSp2 // ileSp1 // lspAp // ribFp,0.54306096,+,ileS-lspA-fkpB-ispH // ileS-lspA-fkpB-ispH // ileS-lspA-fkpB-ispH // lsp-fkpB-ispH // ribF-ileS-lspA-fkpB-ispH,ribF-ileS-lspA-fkpB-ispH,21107,21407,+
b0028,fkpB,25826,26275,ribF // ispH // fkpB // lspA // ileS,ileSp3 // ileSp2 // ileSp1 // lspAp // ribFp,0.5563967,+,ileS-lspA-fkpB-ispH // ileS-lspA-fkpB-ispH // ileS-lspA-fkpB-ispH // lsp-fkpB-ispH // ribF-ileS-lspA-fkpB-ispH,ribF-ileS-lspA-fkpB-ispH,21107,21407,+
b0029,ispH,26277,27227,ribF // ispH // fkpB // lspA // ileS,ileSp3 // ileSp2 // ileSp1 // lspAp // ribFp,0.5661131,+,ileS-lspA-fkpB-ispH // ileS-lspA-fkpB-ispH // ileS-lspA-fkpB-ispH // lsp-fkpB-ispH // ribF-ileS-lspA-fkpB-ispH,ribF-ileS-lspA-fkpB-ispH,21107,21407,+
b0030,rihC,27293,28207,rihC,,0.58800185,+,rihC,rihC,26993,27293,+
b0031,dapB,28374,29195,dapB,dapBp2 // dapBp1,0.611291,+,dapB // dapB,dapB,28074,28374,+
b0032,carA,29651,30799,carA // carB,carAp1 // carAp2,0.6388027,+,carAB // carAB,carAB,29351,29651,+
b0033,carB,30817,34038,carA // carB,carBp // carAp1 // carAp2,0.6639231,+,carB // carAB // carAB,carAB,29351,29651,+
b0034,caiF,34300,34695,caiF,caiFp,0.73896104,+,caiF,caiF,34000,34300,+
b0035,caiE,34781,35371,caiE // caiD // caiC // caiB // caiA // caiT,caiCp // caiTp,0.7493237,-,caiCDE // caiTABCDE,caiTABCDE,41931,42231,-
b0036,caiD,35377,36162,caiE // caiD // caiC // caiB // caiA // caiT,caiCp // caiTp,0.762164,-,caiCDE // caiTABCDE,caiTABCDE,41931,42231,-
b0037,caiC,36271,37824,caiE // caiD // caiC // caiB // caiA // caiT,caiCp // caiTp,0.78142434,-,caiCDE // caiTABCDE,caiTABCDE,41931,42231,-
b0038,caiB,37898,39115,caiB // caiA // caiT // caiE // caiD // caiC,caiTp,0.8164765,-,caiTABCDE,caiTABCDE,41931,42231,-
b0039,caiA,39244,40386,caiB // caiA // caiT // caiE // caiD // caiC,caiTp,0.84547484,-,caiTABCDE,caiTABCDE,41931,42231,-
b0040,caiT,40417,41931,caiB // caiA // caiT // caiE // caiD // caiC,caiTp,0.870746,-,caiTABCDE,caiTABCDE,41931,42231,-
b0041,fixA,42403,43173,fixX // fixC // fixB // fixA,fixAp,0.91353256,+,fixABCX,fixABCX,42103,42403,+
b0042,fixB,43188,44129,fixX // fixC // fixB // fixA,fixAp,0.9304446,+,fixABCX,fixABCX,42103,42403,+
b0043,fixC,44180,45466,fixX // fixC // fixB // fixA,fixAp,0.9518163,+,fixABCX,fixABCX,42103,42403,+
b0044,fixX,45463,45750,fixX // fixC // fixB // fixA,fixAp,0.9794573,+,fixABCX,fixABCX,42103,42403,+
b0045,yaaU,45807,47138,yaaU,yaaUp,0.98686844,+,yaaU,yaaU,45507,45807,+
b0046,kefF,47246,47776,kefC // kefF,,1.0178704,+,kefFC,kefFC,46946,47246,+
b0047,kefC,47769,49631,kefC // kefF,,1.0291378,+,kefFC,kefFC,46946,47246,+
b0048,folA,49823,50302,folA,folAp,1.0733894,+,folA,folA,49523,49823,+
b0049,apaH,50380,51222,lptD // surA // apaH // apaG // rsmA // pdxA,apaGp // pdxAp // rsmAp // surAp,1.0853894,-,apaGH // pdxA-rsmA-apaGH // rsmA-apaGH // surA-pdxA-rsmA-apaGH,lptD-surA-pdxA-rsmA-apaGH,57109,57409,-
b0050,apaG,51229,51606,lptD // surA // apaH // apaG // rsmA // pdxA,apaGp // pdxAp // rsmAp // surAp,1.1036803,-,apaGH // pdxA-rsmA-apaGH // rsmA-apaGH // surA-pdxA-rsmA-apaGH,lptD-surA-pdxA-rsmA-apaGH,57109,57409,-
b0051,rsmA,51609,52430,lptD // surA // apaH // apaG // rsmA // pdxA,pdxAp // pdxAp // rsmAp // surAp,1.1118671,-,pdxA-rsmA // pdxA-rsmA-apaGH // rsmA-apaGH // surA-pdxA-rsmA-apaGH,lptD-surA-pdxA-rsmA-apaGH,57109,57409,-
b0052,pdxA,52427,53416,lptD // surA // apaH // apaG // rsmA // pdxA,impp3 // pdxAp // pdxAp // surAp,1.1294901,-,imp-surA-pdxA // pdxA-rsmA // pdxA-rsmA-apaGH // surA-pdxA-rsmA-apaGH,lptD-surA-pdxA-rsmA-apaGH,57109,57409,-
b0053,surA,53416,54702,lptD // surA // apaH // apaG // rsmA // pdxA,impp3 // surAp,1.1507972,-,imp-surA-pdxA // surA-pdxA-rsmA-apaGH,lptD-surA-pdxA-rsmA-apaGH,57109,57409,-
b0054,lptD,54755,57109,lptD // surA // apaH // apaG // rsmA // pdxA,impp3 // impp2 // impp1,1.1796447,-,imp-surA-pdxA // imp // imp,lptD-surA-pdxA-rsmA-apaGH,57109,57409,-
b0055,djlA,57364,58179,djlA,,1.2358532,+,djlA,djlA,57064,57364,+
b0056,yabP,58474,59124,yabQ // yabP,,1.2597669,+,yabPQ,yabPQ,58174,58474,+
b0057,yabQ,59121,59279,yabQ // yabP,,1.273706,+,yabPQ,yabPQ,58174,58474,+
b0058,rluA,59687,60346,rluA // rapA,rapAp1,1.2858999,-,rapA-rluA,rapA-rluA,63264,63564,-
b0059,rapA,60358,63264,rluA // rapA,rapAp2 // rapAp3 // rapAp1,1.300356,-,hepA // rapA // rapA-rluA,rapA-rluA,63264,63564,-
b0060,polB,63429,65780,polB,polBp,1.3665178,-,polB,polB,65780,66080,-
b0061,araD,65855,66550,araD // araA // araB,araBp,1.4187837,-,araBAD,araBAD,70048,70348,-
b0062,araA,66835,68337,araD // araA // araB,araBp,1.4398968,-,araBAD,araBAD,70048,70348,-
b0063,araB,68348,70048,araD // araA // araB,araBp,1.4724929,-,araBAD,araBAD,70048,70348,-
b0064,araC,70387,71265,araC,araCp,1.5164213,+,araC,araC,70087,70387,+
b0065,yabI,71351,72115,yabI,yabIp,1.5371898,+,yabI,yabI,71051,71351,+
b0066,thiQ,72229,72927,sgrR // thiB // thiP // thiQ // sroA,sgrRp,1.5561055,-,sgrR-sroA-thiBPQ,sgrR-sroA-thiBPQ,77299,77599,-
b0067,thiP,72911,74521,sgrR // thiB // thiP // thiQ // sroA,sgrRp,1.5707984,-,sgrR-sroA-thiBPQ,sgrR-sroA-thiBPQ,77299,77599,-
b0068,thiB,74497,75480,sgrR // thiB // thiP // thiQ // sroA,sgrRp,1.6049674,-,sgrR-sroA-thiBPQ,sgrR-sroA-thiBPQ,77299,77599,-
b0069,sgrR,75644,77299,sgrR // thiB // thiP // thiQ // sroA,sgrRp,1.6296784,-,sgrR-sroA-thiBPQ,sgrR-sroA-thiBPQ,77299,77599,-
b0070,setA,77621,78799,sgrT // setA // sgrS,sgrSp2 // sgrSp,1.6722711,+,sgrST-setA // sgrST-setA,sgrST-setA,77067,77367,+
b0071,leuD,78848,79453,leuD // leuC // leuB // leuA // leuL,leuLp2 // leuLp1,1.6987056,-,leuLABCD // leuLABCD,leuLABCD,83708,84008,-
b0072,leuC,79464,80864,leuD // leuC // leuB // leuA // leuL,leuLp2 // leuLp1,1.7119768,-,leuLABCD // leuLABCD,leuLABCD,83708,84008,-
b0073,leuB,80867,81958,leuD // leuC // leuB // leuA // leuL,leuLp2 // leuLp1,1.742203,-,leuLABCD // leuLABCD,leuLABCD,83708,84008,-
